Id,Label,Type,Degree,InDegree,OutDegree,Betweenness,Closeness,PageRank
kutukan,kutukan,Motif,3,1,2,0.02197802197802198,0.07142857142857142,0.0708078953136441
bakti_kepada_orang_tua,bakti kepada orang tua,Tema,2,1,1,0.01098901098901099,0.09523809523809523,0.07772140700344651
malin_kundang_menjadi_batu,Malin Kundang menjadi batu,Motif,2,1,1,0.01098901098901099,0.09523809523809523,0.0683682818926165
keadilan_moral,keadilan moral,Tema,2,1,1,0.01098901098901099,0.09523809523809523,0.0683682818926165
kekayaan,kekayaan,Konsep,2,1,1,0.01098901098901099,0.07142857142857142,0.046407940112695514
ibu_malin,Ibu Malin,Tokoh,2,1,1,0.005494505494505495,0.07142857142857142,0.05454125851301171
malin_kundang,Malin Kundang,Tokoh,3,0,3,0.0,0.0,0.03827462171237932
tema_utama,tema utama,Tema,1,1,0,0.0,0.10714285714285714,0.10433764938403194
hukuman_moral,hukuman moral,Tema,1,1,0,0.0,0.10714285714285714,0.0963863333156054
konsekuensi_tindakan,konsekuensi tindakan,Tema,1,1,0,0.0,0.10714285714285714,0.0963863333156054
kasih_ibu,kasih ibu,Tema,1,1,0,0.0,0.09523809523809523,0.08463491869324889
kejatuhan,kejatuhan,Tema,1,1,0,0.0,0.07142857142857142,0.0708078953136441
asal-usul,asal-usul,Konsep,1,1,0,0.0,0.07142857142857142,0.046407940112695514
penolakan_ibu,penolakan ibu,Motif,1,0,1,0.0,0.0,0.03827462171237932
kesombongan,kesombongan,Tema,1,0,1,0.0,0.0,0.03827462171237932
